GWAS	sig_eQTL_pvalue_Cutoff	complete.cases(GWAS)	GWASpvalueRangeSmall	GWASpvalueRangeLarge	nrow(subsetGWAS)	numSubsetGWASnotINeQTL	x	m	n	k	hyper P Value	hyper p value * (-log)
HEIGHT_hg19_Pvalue	1.00E-08	2478466	1.00E-02	1.00E-04	74546	5588	55	444	1248322	18768	0	20
SCZ_hg19_Pvalue	1.00E-08	2425838	1.00E-02	1.00E-04	109473	7709	44	444	1248322	28206	1.11E-16	15.95458978
UC_hg19_Pvalue	1.00E-08	1163678	1.00E-02	1.00E-04	25996	2578	29	444	1248322	12675	8.88E-16	15.05149979
BMI_hg19_Pvalue	1.00E-08	2478466	1.00E-02	1.00E-04	56785	4545	29	444	1248322	14233	1.87E-14	13.72928041
LDL_hg19_Pvalue	1.00E-08	2477527	1.00E-02	1.00E-04	33413	3834	25	444	1248322	9593	3.77E-15	14.42311089
DBP_hg19_Pvalue	1.00E-08	2449464	1.00E-02	1.00E-04	30505	2919	23	444	1248322	8494	1.78E-14	13.75046975
RA_hg19_Pvalue	1.00E-08	2427303	1.00E-02	1.00E-04	34197	3484	21	444	1248322	9345	7.44E-12	11.12814562
CAD_hg19_Pvalue	1.00E-08	2412945	1.00E-02	1.00E-04	39329	4053	21	444	1248322	12477	1.57E-09	8.803755262
SBP_hg19_Pvalue	1.00E-08	2449464	1.00E-02	1.00E-04	31191	2933	20	444	1248322	8665	1.32E-11	10.87960147
T2D_hg19_Pvalue	1.00E-08	2414560	1.00E-02	1.00E-04	36690	4185	20	444	1248322	11470	1.94E-09	8.7132342
TG_hg19_Pvalue	1.00E-08	2477564	1.00E-02	1.00E-04	33805	3538	19	444	1248322	9901	9.14E-10	9.038962679
WHR_hg19_Pvalue	1.00E-08	2478470	1.00E-02	1.00E-04	35861	3999	19	444	1248322	10068	1.21E-09	8.916976013
TC_hg19_Pvalue	1.00E-08	2477541	1.00E-02	1.00E-04	34899	4020	19	444	1248322	10139	1.36E-09	8.8658433
ALZ_hg19_Pvalue	1.00E-08	2328879	1.00E-02	1.00E-04	32685	3497	19	444	1248322	10271	1.69E-09	8.771908531
HEIGHT_hg19_Pvalue	1.00E-08	2478466	1.00E-04	1.00E-06	11656	672	18	444	1248322	2607	0	20
MAP_hg19_Pvalue	1.00E-08	2449223	1.00E-02	1.00E-04	30100	2855	17	444	1248322	8365	2.42E-09	8.615934359
LSBMD_CHRPOS_PVALUE_done.gz	1.00E-08	2456022	1.00E-02	1.00E-04	29754	2954	16	444	1248322	8564	2.14E-08	7.668954321
HDL_hg19_Pvalue	1.00E-08	2477462	1.00E-02	1.00E-04	32737	3342	16	444	1248322	9542	9.85E-08	7.006553585
FG_hg19_Pvalue	1.00E-08	2475255	1.00E-02	1.00E-04	34803	4626	16	444	1248322	9900	1.64E-07	6.784410019
FI_hg19_Pvalue	1.00E-08	2475255	1.00E-02	1.00E-04	34803	4626	16	444	1248322	9900	1.64E-07	6.784410019
TNF_hg19_Pvalue	1.00E-08	2477842	1.00E-02	1.00E-04	25457	3610	15	444	1248322	7702	3.01E-08	7.521011535
IL6_hg19_Pvalue	1.00E-08	2464155	1.00E-02	1.00E-04	25026	2993	14	444	1248322	8016	3.02E-07	6.519519905
SCZ_hg19_Pvalue	1.00E-08	2425838	1.00E-04	1.00E-06	13337	357	12	444	1248322	3078	1.59E-10	9.799123795
HOMAIR_hg19_Pvalue	1.00E-08	2446947	1.00E-02	1.00E-04	29242	3235	12	444	1248322	9294	3.87E-05	4.411795432
HBA1C_hg19_Pvalue	1.00E-08	2454111	1.00E-02	1.00E-04	31226	3830	12	444	1248322	9868	7.04E-05	4.152171158
HOMAB_hg19_Pvalue	1.00E-08	2446000	1.00E-02	1.00E-04	27692	3206	10	444	1248322	8853	0.000406363	3.391085522
UC_hg19_Pvalue	1.00E-08	1163678	1.00E-04	1.00E-06	1781	300	8	444	1248322	754	1.37E-11	10.86290173
PP_hg19_Pvalue	1.00E-08	2449204	1.00E-02	1.00E-04	29612	2909	7	444	1248322	8468	0.01182868	1.927063717
HEIGHT_hg19_Pvalue	1.00E-08	2478466	1.00E-10	1.00E-20	2655	134	6	444	1248322	388	1.52E-10	9.819201404
LSBMD_CHRPOS_PVALUE_done.gz	1.00E-08	2456022	1.00E-04	1.00E-06	1938	37	6	444	1248322	470	5.71E-10	9.243082338
HEIGHT_hg19_Pvalue	1.00E-08	2478466	1.00E-08	1.00E-10	1943	180	5	444	1248322	453	1.98E-08	7.702797757
TC_hg19_Pvalue	1.00E-08	2477541	1.00E-06	1.00E-08	1415	175	5	444	1248322	337	3.44E-09	8.463490292
HEIGHT_hg19_Pvalue	1.00E-08	2478466	1.00E-06	1.00E-08	3848	305	5	444	1248322	891	1.02E-06	5.989988113
RA_hg19_Pvalue	1.00E-08	2427303	1.00E-04	1.00E-06	3106	359	5	444	1248322	719	2.96E-07	6.528279781
TC_hg19_Pvalue	1.00E-08	2477541	1.00E-04	1.00E-06	3827	352	4	444	1248322	927	2.40E-05	4.620675624
BIP_hg19_Pvalue	1.00E-08	2415111	1.00E-02	1.00E-04	42352	3744	4	444	1248322	11803	0.4096928	0.387541668
RA_hg19_Pvalue	1.00E-08	2427303	1.00E-06	1.00E-08	1312	246	3	444	1248322	272	3.26E-06	5.486595534
CAD_hg19_Pvalue	1.00E-08	2412945	1.00E-04	1.00E-06	1570	101	3	444	1248322	480	3.01E-05	4.521087217
BMI_hg19_Pvalue	1.00E-08	2478466	1.00E-04	1.00E-06	3908	218	3	444	1248322	833	0.00024885	3.604063228
LSBMD_CHRPOS_PVALUE_done.gz	1.00E-08	2456022	1.00E-06	1.00E-08	860	2	2	444	1248322	132	1.62E-05	4.791420261
LDL_hg19_Pvalue	1.00E-08	2477527	1.00E-06	1.00E-08	805	42	2	444	1248322	253	0.000111458	3.952889144
SCZ_hg19_Pvalue	1.00E-08	2425838	1.00E-06	1.00E-08	3438	64	2	444	1248322	649	0.001707793	2.767564771
HBA1C_hg19_Pvalue	1.00E-08	2454111	1.00E-10	1.00E-20	52	0	1	444	1248322	25	3.76E-05	4.424410388
BMI_hg19_Pvalue	1.00E-08	2478466	1.00E-10	1.00E-20	329	0	1	444	1248322	63	0.000242818	3.614719301
HDL_hg19_Pvalue	1.00E-08	2477462	1.00E-10	1.00E-20	705	35	1	444	1248322	197	0.002325882	2.633412322
DBP_hg19_Pvalue	1.00E-08	2449464	1.00E-08	1.00E-10	26	0	1	444	1248322	13	9.81E-06	5.008207717
SBP_hg19_Pvalue	1.00E-08	2449464	1.00E-08	1.00E-10	83	0	1	444	1248322	13	9.81E-06	5.008207717
BMI_hg19_Pvalue	1.00E-08	2478466	1.00E-08	1.00E-10	370	14	1	444	1248322	63	0.000242818	3.614719301
UC_hg19_Pvalue	1.00E-08	1163678	1.00E-08	1.00E-10	223	52	1	444	1248322	81	0.000401127	3.39671778
MAP_hg19_Pvalue	1.00E-08	2449223	1.00E-06	1.00E-08	166	3	1	444	1248322	41	0.000102481	3.989356222
SBP_hg19_Pvalue	1.00E-08	2449464	1.00E-06	1.00E-08	109	1	1	444	1248322	48	0.000140742	3.851577516
DBP_hg19_Pvalue	1.00E-08	2449464	1.00E-06	1.00E-08	313	2	1	444	1248322	55	0.000184979	3.732876634
BMI_hg19_Pvalue	1.00E-08	2478466	1.00E-06	1.00E-08	641	15	1	444	1248322	150	0.001361244	2.866064021
UC_hg19_Pvalue	1.00E-08	1163678	1.00E-06	1.00E-08	564	73	1	444	1248322	203	0.002466615	2.607898632
IL6_hg19_Pvalue	1.00E-08	2464155	1.00E-04	1.00E-06	338	64	1	444	1248322	103	0.000646987	3.189104311
HBA1C_hg19_Pvalue	1.00E-08	2454111	1.00E-04	1.00E-06	990	76	1	444	1248322	253	0.003790391	2.421315988
ALZ_hg19_Pvalue	1.00E-08	2328879	1.00E-04	1.00E-06	1176	75	1	444	1248322	314	0.005760181	2.23956387
MAP_hg19_Pvalue	1.00E-08	2449223	1.00E-04	1.00E-06	1422	33	1	444	1248322	324	0.006119194	2.213305778
SBP_hg19_Pvalue	1.00E-08	2449464	1.00E-04	1.00E-06	1316	34	1	444	1248322	325	0.006155645	2.210726434
TG_hg19_Pvalue	1.00E-08	2477564	1.00E-04	1.00E-06	2642	328	1	444	1248322	716	0.02732741	1.563401527
HDL_hg19_Pvalue	1.00E-08	2477462	1.00E-04	1.00E-06	2660	139	1	444	1248322	721	0.02767869	1.557854468
LDL_hg19_Pvalue	1.00E-08	2477527	1.00E-04	1.00E-06	2745	204	1	444	1248322	724	0.02789033	1.554546347
